category,key,spellID,name,class,spec,role,defType,short,cooldown,external,choiceNode,talents_required,talents_not_possessed,comment
HEAL,325197:1,325197,Invoke Chi-Ji (2 min),MONK,,HEALER,,Chi,120,no,1,325197,388212,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,388615,388615,Restoral,MONK,,HEALER,,Res,180,no,4,388615,,
HEAL,443028,443028,Celestial Conduit,MONK,,HEALER,,Cond,90,no,,443028,,
HEAL,114165:0,114165,Holy Prism (45 sec),PALADIN,,HEALER,,Prism,45,no,8,114165,379391,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,114165:1,114165,Holy Prism (30 sec),PALADIN,,HEALER,,Prism,30,no,8,"114165, 379391",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,216331:0,216331,Avenging Crusader (1 min),PALADIN,,HEALER,,AC,120,no,5,216331,1241511,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,216331:1,216331,"Avenging Crusader (52,5 sec)",PALADIN,,HEALER,,AC,105,no,5,"216331, 1241511",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,31821:0,31821,Aura Mastery (3 min),PALADIN,,HEALER,,Aura,180,no,,31821,392911,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,31821:1,31821,Aura Mastery (2 min 30),PALADIN,,HEALER,,Aura,150,no,,"31821, 392911",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,31884:0,31884,Avenging Wrath (2 min),PALADIN,,HEALER,,AW,120,no,5,31884,1241511,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,31884:1,31884,Avenging Wrath (1 min 45),PALADIN,,HEALER,,AW,105,no,5,"31884, 1241511",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,375576:0,375576,Divine Toll (45 sec),PALADIN,,HEALER,,Toll,45,no,8,375576,379391,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,375576:1,375576,Divine Toll (30 sec),PALADIN,,HEALER,,Toll,30,no,8,"375576, 379391",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,200183,200183,Apotheosis,PRIEST,Holy,HEALER,,Apo,120,no,,200183,,
HEAL,421543,421453,Ultimate Penitence,PRIEST,Discipline,HEALER,,UP,240,no,6,421453,,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,472433,472433,Evangelism,PRIEST,Discipline,HEALER,,Eva,90,no,,472433,,
HEAL,47788,47788,Guardian Spirit,PRIEST,Holy,HEALER,,GS,120,no,,47788,,
HEAL,62618,62618,Power Word: Barrier,PRIEST,Discipline,HEALER,,PWB,180,no,6,62618,,
HEAL,64843:0,64843,Divine Hymn (3 min),PRIEST,Holy,HEALER,,Hymn,180,no,,64843,419110,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,64843:1,64843,Divine Hymn (2 min),PRIEST,Holy,HEALER,,Hymn,120,no,,"64843, 419110",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,108280:0,108280,Healing Tide Totem (2 min),SHAMAN,,HEALER,,HTT,120,no,7,"108280, 462440",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,108280:1,108280,Healing Tide Totem (3 min),SHAMAN,,HEALER,,HTT,180,no,7,108280,462440,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,114052:0,114052,Ascendance (2 min),SHAMAN,,HEALER,,Asc,120,no,7,"114052, 462440",,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,114052:1,114052,Ascendance (3 min),SHAMAN,,HEALER,,Asc,180,no,7,114052,462440,"CLE HERITEE : ne pas renommer, presente dans les plans sauvegardes"
HEAL,378081,378081,Nature's Swiftness,SHAMAN,,HEALER,,NS,60,no,,,443454,
HEAL,443454,443454,Ancestral Swiftness,SHAMAN,,HEALER,,AncS,30,no,,443454,,
HEAL,98008,98008,Spirit Link Totem,SHAMAN,,HEALER,,SLT,180,no,,98008,,
TRINKET,1291894,1291894,Soulcoiler Ritual Vessel,,,,,Vessel,120,no,,,,trinket itemId 270162
GENERIC,EMPTY_BAG,,Empty the bag,,,,,Bag,0,no,,,,
GENERIC,SMALL_DEF,,Defensive,,,,,Def,90,no,,,,
HEAL,DELETE,DELETE,Spirit Shell,PRIEST,Discipline,HEALER,,Shell,60,no,,,,
HEAL,DELETE,DELETE,Luminous Barrier,PRIEST,Discipline,HEALER,,Lumi,180,no,,,,
HEAL,DELETE,DELETE,Symbol of Hope,PRIEST,Holy,HEALER,,Hope,300,no,,,,
HEAL,DELETE,DELETE,Holy Word Salvation,PRIEST,Holy,HEALER,,Salv,720,no,,,,
EXTERNAL,DELETE,DELETE,Litany of Lightblind Wrath,,,,,Lit,90,yes,,,,itemId 249808 (retire 12.1 : plus utilise apres le changement de saison)
