patch,dungeon,encounter_id,boss,boss_enabled,spell_id,spell_name,in_timeline
12.0.x,Pit of Saron,2000,Scourgelord Tyrannus,yes,1263406,Army of the Dead,yes
12.0.x,Pit of Saron,2000,Scourgelord Tyrannus,yes,1262745,Rime Blast,no
12.0.x,Pit of Saron,2000,Scourgelord Tyrannus,yes,1276948,Ice Barrage,no
12.0.x,Pit of Saron,2000,Scourgelord Tyrannus,yes,1262582,Scourgelord's Brand,no
12.0.x,Pit of Saron,2000,Scourgelord Tyrannus,yes,1263756,Death's Grasp,no
12.1.x,Altar of Fangs,3456,Rav'i,yes,1307894,Ravenous Stomp,yes
12.1.x,Altar of Fangs,3456,Rav'i,yes,1296220,Triple Shot,yes
12.1.x,Altar of Fangs,3456,Rav'i,yes,1296216,Ssscavenging,yes
12.1.x,Altar of Fangs,3456,Rav'i,yes,1296050,Regurgitate,yes
12.1.x,Altar of Fangs,3456,Rav'i,yes,1307703,Fresh Meat,no
12.1.x,Altar of Fangs,3457,The Writhing Coil,yes,1299154,Synchronized Venom,yes
12.1.x,Altar of Fangs,3457,The Writhing Coil,yes,1299053,Death Rattle,yes
12.1.x,Altar of Fangs,3457,The Writhing Coil,yes,1298949,Tail Scythe,no
12.1.x,Altar of Fangs,3457,The Writhing Coil,yes,1310357,Preparing Toxin,no
12.1.x,Altar of Fangs,3457,The Writhing Coil,yes,1299940,Vindictive Onslaught,no
12.1.x,Altar of Fangs,3457,The Writhing Coil,yes,1310547,Toxic Atrophy,no
12.1.x,Altar of Fangs,3457,The Writhing Coil,yes,1300686,Assimilation,no
12.1.x,Altar of Fangs,3457,The Writhing Coil,yes,1299130,Burrowing Charge,no
12.1.x,Altar of Fangs,3457,The Writhing Coil,yes,1300044,Venom Jet,no
12.1.x,Altar of Fangs,3458,Zul'jan,yes,1300876,Ritual of the Fang,yes
12.1.x,Altar of Fangs,3458,Zul'jan,yes,1301413,Boneslicer,yes
12.1.x,Altar of Fangs,3458,Zul'jan,yes,1301111,Axegrinder,no
12.1.x,Altar of Fangs,3458,Zul'jan,yes,1301350,Chop Down,no
12.1.x,Ruby Life Pools,2609,Melidrussa Chillworn,yes,373686,Frost Overload,yes
12.1.x,Ruby Life Pools,2609,Melidrussa Chillworn,yes,1307297,Hailburst,no
12.1.x,Ruby Life Pools,2609,Melidrussa Chillworn,yes,1307308,Chillstorm,no
12.1.x,Ruby Life Pools,2609,Melidrussa Chillworn,yes,373046,Awaken Whelps,no
12.1.x,Ruby Life Pools,2606,Kokia Blazehoof,yes,372864,Ritual of Blazebinding,yes
12.1.x,Ruby Life Pools,2606,Kokia Blazehoof,yes,372110,Molten Boulder,no
12.1.x,Ruby Life Pools,2606,Kokia Blazehoof,yes,372858,Searing Blows,no
12.1.x,Ruby Life Pools,2623,Kyrakka and Erkhart Stormvein,yes,381512,Stormslam,no
12.1.x,Ruby Life Pools,2623,Kyrakka and Erkhart Stormvein,yes,381517,Winds of Change,no
12.1.x,Ruby Life Pools,2623,Kyrakka and Erkhart Stormvein,yes,381862,Inferno Spit,yes
12.1.x,Ruby Life Pools,2623,Kyrakka and Erkhart Stormvein,yes,381516,Interrupting Cloudburst,yes
12.1.x,Ruby Life Pools,2623,Kyrakka and Erkhart Stormvein,yes,381525,Roaring Firebreath,no
12.1.x,Temple of Sethraliss,2124,Adderis and Aspix,yes,1288864,Tempest Winds,yes
12.1.x,Temple of Sethraliss,2124,Adderis and Aspix,yes,1288428,Overload,yes
12.1.x,Temple of Sethraliss,2124,Adderis and Aspix,yes,1289059,Gale Force,no
12.1.x,Temple of Sethraliss,2124,Adderis and Aspix,yes,1288049,Thunder and Lightning,no
12.1.x,Temple of Sethraliss,2125,Merektha,yes,1293048,Serpentstorm,yes
12.1.x,Temple of Sethraliss,2125,Merektha,yes,264172,Burrow,yes
12.1.x,Temple of Sethraliss,2125,Merektha,yes,1290797,Lightning Bite,no
12.1.x,Temple of Sethraliss,2125,Merektha,yes,1290029,A Knot of Snakes,no
12.1.x,Temple of Sethraliss,2125,Merektha,yes,1289109,Thunder Spit,no
12.1.x,Temple of Sethraliss,2125,Merektha,yes,1289205,Hatch,no
12.1.x,Temple of Sethraliss,2126,Galvazzt,yes,1309525,Induction,yes
12.1.x,Temple of Sethraliss,2126,Galvazzt,yes,1291618,Lightning Spire,no
12.1.x,Kings' Rest,2139,The Golden Serpent,yes,265773,Spit Gold,yes
12.1.x,Kings' Rest,2139,The Golden Serpent,yes,265781,Serpentine Gust,yes
12.1.x,Kings' Rest,2139,The Golden Serpent,yes,265910,Tail Thrash,no
12.1.x,Kings' Rest,2139,The Golden Serpent,yes,265923,Lucre's Call,no
12.1.x,Kings' Rest,2142,Mchimba the Embalmer,yes,267618,Drain Fluids,yes
12.1.x,Kings' Rest,2142,Mchimba the Embalmer,yes,1311956,Burn Corruption,yes
12.1.x,Kings' Rest,2142,Mchimba the Embalmer,yes,1312146,Awakening Slam,yes
12.1.x,Kings' Rest,2142,Mchimba the Embalmer,yes,267702,Entomb,no
12.1.x,Kings' Rest,2143,King Dazar,yes,1303327,Quaking Leap,yes
12.1.x,Kings' Rest,2143,King Dazar,yes,1303267,Gilded Destruction,yes
12.1.x,Kings' Rest,2143,King Dazar,yes,269230,Hunting Leap,no
12.1.x,Kings' Rest,2143,King Dazar,yes,269369,Deathly Roar,no
12.1.x,Kings' Rest,2143,King Dazar,yes,1303115,Aerial Smash,no
12.1.x,Kings' Rest,2143,King Dazar,yes,268586,Blade Combo,no
12.1.x,Kings' Rest,2143,King Dazar,yes,1303488,Savage Maul,no
12.1.x,The Blinding Vale,3199,Lightblossom Trinity,yes,1234753,Bedrock Slam,yes
12.1.x,The Blinding Vale,3199,Lightblossom Trinity,yes,1235564,Lightblossom Beam,yes
12.1.x,The Blinding Vale,3199,Lightblossom Trinity,yes,1234850,Lightsower Dash,no
12.1.x,The Blinding Vale,3199,Lightblossom Trinity,yes,1234802,Fertile Loam,no
12.1.x,The Blinding Vale,3199,Lightblossom Trinity,yes,1235828,Light-Scorched Earth,no
12.1.x,The Blinding Vale,3199,Lightblossom Trinity,yes,1235640,Thornblade,no
12.1.x,The Blinding Vale,3200,Ikuzz the Light Hunter,yes,1236746,Verdant Stomp,yes
12.1.x,The Blinding Vale,3200,Ikuzz the Light Hunter,yes,1236709,Thorncaller Roar,yes
12.1.x,The Blinding Vale,3200,Ikuzz the Light Hunter,yes,1237090,Bloodthirsty Gaze,no
12.1.x,The Blinding Vale,3200,Ikuzz the Light Hunter,yes,1237267,Incise,no
12.1.x,The Blinding Vale,3200,Ikuzz the Light Hunter,yes,1272290,Crunched,no
12.1.x,The Blinding Vale,3201,Lightwarden Ruia,no,1239825,Lightfire,no
12.1.x,The Blinding Vale,3201,Lightwarden Ruia,no,1239919,Lightfire Beams,no
12.1.x,The Blinding Vale,3201,Lightwarden Ruia,no,1241058,Grievous Thrash,no
12.1.x,The Blinding Vale,3201,Lightwarden Ruia,no,1251345,Blight Resin,no
12.1.x,The Blinding Vale,3201,Lightwarden Ruia,no,1257094,Pulverized,no
12.1.x,The Blinding Vale,3202,Ziekket,yes,1246372,Awaken the Lightbloom,yes
12.1.x,The Blinding Vale,3202,Ziekket,yes,1246858,Lightbloom's Essence,yes
12.1.x,The Blinding Vale,3202,Ziekket,yes,1246751,Concentrated Lightbeam,no
12.1.x,The Blinding Vale,3202,Ziekket,yes,1246753,Lightsap,no
12.1.x,The Blinding Vale,3202,Ziekket,yes,1247746,Thornspike,no
12.1.x,Voidscar Arena,3285,Taz'rah,yes,1222098,Nether Dash,yes
12.1.x,Voidscar Arena,3285,Taz'rah,yes,1300259,Dark Bloom,yes
12.1.x,Voidscar Arena,3285,Taz'rah,yes,1296963,Umbral Rupture,no
12.1.x,Voidscar Arena,3285,Taz'rah,yes,1297017,Void Blast,no
12.1.x,Voidscar Arena,3286,Atroxus,yes,1226120,Poison Splash,yes
12.1.x,Voidscar Arena,3286,Atroxus,yes,1262497,Monstrous Roar,yes
12.1.x,Voidscar Arena,3286,Atroxus,yes,1222642,Hulking Claw,no
12.1.x,Voidscar Arena,3286,Atroxus,yes,1222721,Noxious Breath,no
12.1.x,Voidscar Arena,3286,Atroxus,yes,1222484,Poison Pool,no
12.1.x,Voidscar Arena,3286,Atroxus,yes,1263971,Lingering Poison,no
12.1.x,Voidscar Arena,3287,Charonus,yes,1282770,Unstable Singularity,yes
12.1.x,Voidscar Arena,3287,Charonus,yes,1227264,Cosmic Crash,yes
12.1.x,Voidscar Arena,3287,Charonus,yes,1263982,Gravitic Orbs,no
12.1.x,Voidscar Arena,3287,Charonus,yes,1222755,Void Cascade,no
12.1.x,Voidscar Arena,3287,Charonus,yes,1311923,Dark Waves,no
12.1.x,Voidscar Arena,3287,Charonus,yes,1264188,Event Horizon,no
12.1.x,Den of Nalorakk,3207,The Hoardmonger,yes,1235118,Ravenous Bellow,yes
12.1.x,Den of Nalorakk,3207,The Hoardmonger,yes,1234233,Spoiled Supplies,yes
12.1.x,Den of Nalorakk,3207,The Hoardmonger,yes,1253268,Earthshatter Slam,no
12.1.x,Den of Nalorakk,3208,Sentinel of Winter,yes,1235548,Glacial Torment,yes
12.1.x,Den of Nalorakk,3208,Sentinel of Winter,yes,1235656,Frozen Tempest,yes
12.1.x,Den of Nalorakk,3208,Sentinel of Winter,yes,1235623,Raging Squall,no
12.1.x,Den of Nalorakk,3208,Sentinel of Winter,yes,1235783,Shattering Frostspike,no
12.1.x,Den of Nalorakk,3209,Nalorakk,yes,1242860,Echoing Maul,yes
12.1.x,Den of Nalorakk,3209,Nalorakk,yes,1243569,Overwhelming Onslaught,yes
12.1.x,Den of Nalorakk,3209,Nalorakk,yes,1243011,Fury of the War God,yes
12.1.x,Murder Row,3101,Kystia Manaheart,no,1253811,Fel Spray,no
12.1.x,Murder Row,3101,Kystia Manaheart,no,474240,Fel Nova,no
12.1.x,Murder Row,3101,Kystia Manaheart,no,1264095,Mirror Images,no
12.1.x,Murder Row,3101,Kystia Manaheart,no,1228198,Corroding Spittle,no
12.1.x,Murder Row,3102,Zaen Bladesorrow,yes,474478,Killing Spree,yes
12.1.x,Murder Row,3102,Zaen Bladesorrow,yes,1218347,Murder in a Row,yes
12.1.x,Murder Row,3102,Zaen Bladesorrow,yes,474765,Same-Day Delivery,no
12.1.x,Murder Row,3102,Zaen Bladesorrow,yes,1214357,Fire Bomb,no
12.1.x,Murder Row,3102,Zaen Bladesorrow,yes,1222795,Envenom,no
12.1.x,Murder Row,3103,Xathuux the Annihilator,yes,1214637,Axe Toss,yes
12.1.x,Murder Row,3103,Xathuux the Annihilator,yes,1295453,Infernal Crush,yes
12.1.x,Murder Row,3103,Xathuux the Annihilator,yes,474197,Demonic Rage,yes
12.1.x,Murder Row,3103,Xathuux the Annihilator,yes,473898,Legion Strike,no
12.1.x,Murder Row,3103,Xathuux the Annihilator,yes,474234,Burning Steps,no
12.1.x,Murder Row,3103,Xathuux the Annihilator,yes,1214650,Fel Lightning,no
12.1.x,Murder Row,3105,Lithiel Cinderfury,yes,1218203,Fingers of Gul'dan,yes
12.1.x,Murder Row,3105,Lithiel Cinderfury,yes,474408,Summon Vilefiend,no
12.1.x,Murder Row,3105,Lithiel Cinderfury,yes,1224478,Malefic Wave,no
